1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 16, 5.08428, 0.000249
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 19, 4.44305, 0.000123
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 22, 3.74936, 0.000154
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 26, 6.00059, 0.000234
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 32, 5.12512, 0.000278
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 38, 12.0709, 0.000428
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 45, 6.4673, 0.000507
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 53, 10.349, 0.000679
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 64, 8.48267, 0.000858
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 76, 0.770689, 0.001349
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 90, 8.68704, 0.00209
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 107, 6.6972, 0.002592
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 128, 6.99139, 0.004391
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 152, 15.2411, 0.003322
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 181, 4.25256, 0.004362
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 215, 6.5401, 0.006768
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 256, 7.77228, 0.009558
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 304, 7.41879, 0.012575
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 362, 17.4657, 0.014118
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 430, 18.7009, 0.022115
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 512, 6.38456, 0.035492
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 608, 21.7851, 0.035282
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 724, 8.56682, 0.050221
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 861, 10.009, 0.0676
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 1024, 15.0743, 0.113296
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 1217, 30.1267, 0.135967
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 1448, 32.4621, 0.191901
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 1722, 26.774, 0.279719
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 2048, 50.2559, 0.397119
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 2435, 37.1636, 0.527854
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 2896, 19.2577, 0.746168
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 3444, 28.0925, 1.03253
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 4096, 41.5433, 1.47235
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 4870, 100.905, 2.0606
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 5792, 28.9433, 3.09747
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 6888, 74.038, 4.06951
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 8192, 105.398, 6.308
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 9741, 59.7546, 8.27555
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 11585, 144.806, 11.7031
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 13777, 81.4108, 16.7818
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 16384, 83.2001, 25.2325
1, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 19483, 89.3567, 32.8826
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 16, 5.08428, 0.000174
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 19, 4.44305, 5.1e-05
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 22, 3.74936, 6.5e-05
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 26, 6.00059, 7.6e-05
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 32, 5.12512, 0.000105
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 38, 12.0709, 0.000136
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 45, 6.4673, 0.000198
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 53, 10.349, 0.000247
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 64, 8.48267, 0.000316
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 76, 0.770689, 0.000392
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 90, 8.68704, 0.00061
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 107, 6.6972, 0.00073
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 128, 6.99139, 0.000921
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 152, 15.2411, 0.00121
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 181, 4.25256, 0.001971
10, hpce.aes414.direct_fourier_transform_parfor_inner, 4, 4, 215, 6.5401, 0.003319
